,review_month,dominant_topic,sentiment_pred,count,share
501,2012-11-01,6,positive,6,0.8571428571428571
502,2012-11-01,8,positive,10,1.0
503,2012-12-01,0,negative,7,0.1891891891891892
504,2012-12-01,0,neutral,7,0.1891891891891892
505,2012-12-01,0,positive,23,0.6216216216216216
506,2012-12-01,2,negative,6,0.2857142857142857
507,2012-12-01,2,neutral,2,0.09523809523809523
508,2012-12-01,2,positive,13,0.6190476190476191
509,2012-12-01,4,negative,1,0.1
510,2012-12-01,4,neutral,1,0.1
511,2012-12-01,4,positive,8,0.8
512,2012-12-01,6,negative,4,0.16
513,2012-12-01,6,neutral,3,0.12
514,2012-12-01,6,positive,18,0.72
515,2012-12-01,8,negative,1,0.041666666666666664
516,2012-12-01,8,neutral,2,0.08333333333333333
517,2012-12-01,8,positive,21,0.875
518,2013-01-01,0,negative,7,0.15555555555555556
519,2013-01-01,0,neutral,10,0.2222222222222222
520,2013-01-01,0,positive,28,0.6222222222222222
521,2013-01-01,2,negative,5,0.2631578947368421
522,2013-01-01,2,neutral,2,0.10526315789473684
523,2013-01-01,2,positive,12,0.631578947368421
524,2013-01-01,4,negative,1,0.0625
525,2013-01-01,4,positive,15,0.9375
526,2013-01-01,6,negative,2,0.08695652173913043
527,2013-01-01,6,neutral,3,0.13043478260869565
528,2013-01-01,6,positive,18,0.782608695652174
529,2013-01-01,8,negative,1,0.043478260869565216
530,2013-01-01,8,neutral,1,0.043478260869565216
531,2013-01-01,8,positive,21,0.9130434782608695
532,2013-02-01,0,negative,6,0.21428571428571427
533,2013-02-01,0,neutral,4,0.14285714285714285
534,2013-02-01,0,positive,18,0.6428571428571429
535,2013-02-01,2,negative,5,0.35714285714285715
536,2013-02-01,2,neutral,1,0.07142857142857142
537,2013-02-01,2,positive,8,0.5714285714285714
538,2013-02-01,4,neutral,6,0.4
539,2013-02-01,4,positive,9,0.6
540,2013-02-01,6,neutral,4,0.19047619047619047
541,2013-02-01,6,positive,17,0.8095238095238095
542,2013-02-01,8,negative,2,0.08
543,2013-02-01,8,neutral,2,0.08
544,2013-02-01,8,positive,21,0.84
545,2013-03-01,0,negative,8,0.2857142857142857
546,2013-03-01,0,neutral,7,0.25
547,2013-03-01,0,positive,13,0.4642857142857143
548,2013-03-01,2,negative,3,0.17647058823529413
549,2013-03-01,2,neutral,1,0.058823529411764705
550,2013-03-01,2,positive,13,0.7647058823529411
551,2013-03-01,4,negative,3,0.15789473684210525
552,2013-03-01,4,neutral,2,0.10526315789473684
553,2013-03-01,4,positive,14,0.7368421052631579
554,2013-03-01,6,negative,1,0.05555555555555555
555,2013-03-01,6,neutral,2,0.1111111111111111
556,2013-03-01,6,positive,15,0.8333333333333334
557,2013-03-01,8,neutral,1,0.05555555555555555
558,2013-03-01,8,positive,17,0.9444444444444444
559,2013-04-01,0,negative,3,0.1
560,2013-04-01,0,neutral,4,0.13333333333333333
561,2013-04-01,0,positive,23,0.7666666666666667
562,2013-04-01,2,negative,3,0.25
563,2013-04-01,2,neutral,1,0.08333333333333333
564,2013-04-01,2,positive,8,0.6666666666666666
565,2013-04-01,4,negative,2,0.18181818181818182
566,2013-04-01,4,positive,9,0.8181818181818182
567,2013-04-01,6,negative,3,0.125
568,2013-04-01,6,neutral,5,0.20833333333333334
569,2013-04-01,6,positive,16,0.6666666666666666
570,2013-04-01,8,positive,10,1.0
571,2013-05-01,0,negative,3,0.10714285714285714
572,2013-05-01,0,neutral,9,0.32142857142857145
573,2013-05-01,0,positive,16,0.5714285714285714
574,2013-05-01,2,negative,1,0.1
575,2013-05-01,2,neutral,3,0.3
576,2013-05-01,2,positive,6,0.6
577,2013-05-01,4,negative,1,0.05263157894736842
578,2013-05-01,4,neutral,2,0.10526315789473684
579,2013-05-01,4,positive,16,0.8421052631578947
580,2013-05-01,6,negative,6,0.3157894736842105
581,2013-05-01,6,neutral,3,0.15789473684210525
582,2013-05-01,6,positive,10,0.5263157894736842
583,2013-05-01,8,positive,6,1.0
584,2013-06-01,0,negative,4,0.15384615384615385
585,2013-06-01,0,neutral,4,0.15384615384615385
586,2013-06-01,0,positive,18,0.6923076923076923
587,2013-06-01,2,negative,2,0.18181818181818182
588,2013-06-01,2,neutral,5,0.45454545454545453
589,2013-06-01,2,positive,4,0.36363636363636365
590,2013-06-01,4,negative,1,0.05555555555555555
591,2013-06-01,4,neutral,2,0.1111111111111111
592,2013-06-01,4,positive,15,0.8333333333333334
593,2013-06-01,6,neutral,2,0.18181818181818182
594,2013-06-01,6,positive,9,0.8181818181818182
595,2013-06-01,8,positive,14,1.0
596,2013-07-01,0,negative,8,0.3333333333333333
597,2013-07-01,0,neutral,2,0.08333333333333333
598,2013-07-01,0,positive,14,0.5833333333333334
599,2013-07-01,2,negative,3,0.17647058823529413
600,2013-07-01,2,neutral,1,0.058823529411764705
601,2013-07-01,2,positive,13,0.7647058823529411
602,2013-07-01,4,negative,1,0.05263157894736842
603,2013-07-01,4,neutral,3,0.15789473684210525
604,2013-07-01,4,positive,15,0.7894736842105263
605,2013-07-01,6,negative,1,0.09090909090909091
606,2013-07-01,6,neutral,2,0.18181818181818182
607,2013-07-01,6,positive,8,0.7272727272727273
608,2013-07-01,8,negative,1,0.1
609,2013-07-01,8,positive,9,0.9
610,2013-08-01,0,negative,4,0.13333333333333333
611,2013-08-01,0,neutral,6,0.2
612,2013-08-01,0,positive,20,0.6666666666666666
613,2013-08-01,2,neutral,4,0.3333333333333333
614,2013-08-01,2,positive,8,0.6666666666666666
615,2013-08-01,4,negative,1,0.07692307692307693
616,2013-08-01,4,neutral,3,0.23076923076923078
617,2013-08-01,4,positive,9,0.6923076923076923
618,2013-08-01,6,neutral,2,0.14285714285714285
619,2013-08-01,6,positive,12,0.8571428571428571
620,2013-08-01,8,neutral,1,0.058823529411764705
621,2013-08-01,8,positive,16,0.9411764705882353
